100,1000
47,999
513,266
45,154
439,359
369,476
974,433
33,876
819,178
542,452
170,396
461,198
605,681
528,380
894,337
582,267
145,228
265,643
662,456
862,480
366,477
11,69
563,311
460,594
597,572
30,819
914,775
639,188
118,660
365,625
371,173
215,42
170,644
321,495
475,521
852,256
2,359
589,289
954,394
773,516
998,444
385,7
534,425
946,7
687,551
607,861
982,57
218,736
830,334
865,683
96,709
462,473
546,388
289,726
795,786
668,264
438,898
55,798
765,193
517,495
600,297
854,719
886,79
127,901
172,577
607,344
924,308
52,51
71,837
893,750
453,95
57,552
668,925
552,218
208,504
239,653
786,267
306,607
732,597
694,250
492,774
397,693
687,38
733,375
360,634
787,809
89,433
532,91
921,566
220,906
414,678
914,480
45,645
764,477
424,708
191,957
655,446
610,258
66,658
299,988
302,523
